BoidAmount,DeltaTime,EFPS,BoidViewRadius,BoidAvoidRadius,Alignment,Separation,CentrePull,Speed,
1000,0.008282184,280.2776,2,2.01,0.3700002,0.995,0.01089999,24.8,
1000,0.003917621,270.4801,2,2,0.3700002,1,0.009999993,25,
1000,0.003299813,313.8233,2,2,0.3700002,1,0.009999993,25,
1000,0.003192496,321.2194,2,2,0.3700002,1,0.009999993,25,
1000,0.003504342,301.6814,2,2,0.3700002,1,0.009999993,25,
1000,0.002644911,385.3727,2,2,0.3700002,1,0.009999993,25,
1000,0.002659705,382.013,2,2,0.3700002,1,0.009999993,25,
1000,0.002619284,389.442,2,2,0.3700002,1,0.009999993,25,
1000,0.002620664,388.6782,2,2,0.3700002,1,0.009999993,25,
1000,0.002619869,388.135,2,2,0.3700002,1,0.009999993,25,
1000,0.002688695,379.5092,2,2,0.3700002,1,0.009999993,25,
1000,0.003338361,313.7169,2,2,0.3700002,1,0.009999993,25,
1000,0.0037694,316.4263,2,2,0.3700002,1,0.009999993,25,
1000,0.003256002,341.5555,2,2,0.3700002,1,0.009999993,25,
1000,0.003127473,331.6443,2,2,0.3700002,1,0.009999993,25,
1000,0.003529808,308.014,2,2,0.3700002,1,0.009999993,39.78575,
1000,0.003213904,322.2614,2,2,0.3700002,1,0.009999993,50,
1000,0.002836323,365.5645,2,2,0.3700002,1,0.009999993,50,
1000,0.002900975,355.1015,2,2,0.3700002,1,0.009999993,50,
1000,0.002724369,375.3215,2,2,0.3700002,1,0.009999993,50,
1000,0.002821241,364.9911,2,2,0.3700002,1,0.009999993,50,
1000,0.002819744,365.7394,2,2,0.3700002,1,0.009999993,50,
1000,0.002710876,376.7132,2,2,0.3700002,1,0.009999993,50,
1000,0.002877353,358.5832,2,2,0.3700002,1,0.05405799,50,
1000,0.002678548,380.8297,2,2,0.3700002,1,0.06091866,50,
1000,0.002651683,382.7357,2,2,0.3700002,1,0.06091866,50,
1000,0.002765308,372.0045,2,2,0.3700002,1,0.06091866,50,
1000,0.002845578,376.922,2,2,0.3700002,1,0.06091866,50,
1000,0.002795077,368.6939,2,2,0.3700002,1,0.06091866,50,
1000,0.002728787,374.7641,2,2,0.3700002,1,0.06091866,50,
1000,0.002780663,369.5699,2,2,0.3700002,1,0.06091866,50,
1000,0.002822093,365.2021,2,2,0.3700002,1,0.06091866,50,
1000,0.002818095,364.5159,2,2,0.3700002,1,0.06091866,50,
1000,0.002979776,346.1391,2,2,0.3700002,1,0.06091866,50,
1000,0.002651225,384.0504,2,2,0.3700002,1,0.06091866,50,
1000,0.002880482,358.2512,2,2,0.3700002,1,0.06091866,50,
1000,0.002717736,375.5586,2,2,0.3700002,1,0.06091866,50,
1000,0.003239655,322.6873,2,2,0.3700002,1,0.06091866,50,
1000,0.003109609,337.9418,2,2,0.3700002,1,0.06091866,50,
1000,0.002894656,359.4598,2,2,0.3700002,1,0.06091866,50,
1000,0.002653557,385.5829,2,2,0.3700002,1,0.06091866,50,
1000,0.002949002,363.3806,2,2,0.3700002,1,0.06091866,50,
1000,0.003209485,343.8866,2,2,0.3700002,1,0.06091866,50,
1000,0.002981282,357.4819,2,2,0.3700002,1,0.06091866,50,
1000,0.002757509,375.3298,2,2,0.3700002,1,0.06091866,50,
1000,0.002793362,367.2341,2,2,0.3700002,1,0.06091866,50,
1000,0.002726614,373.8177,2,2,0.3700002,1,0.06091866,50,
1000,0.002736615,373.0338,2,2,0.3700002,1,0.06091866,50,
1000,0.002854784,361.394,2,2,0.3700002,1,0.06091866,50,
1000,0.003332319,319.9825,2,2,0.3700002,1,0.06091866,50,
470060,0.02686708,63.44559,2,2,0.3700002,1,0.06091866,50,
500000,0.02432983,44.33485,2,2,0.3700002,0.6972237,0.06091866,50,
500000,0.01731286,62.14356,2,2,0.4009845,0.4291548,0.06091866,50,
500000,0.01474451,69.64744,2,2,0.8375941,0.4291548,0.06091866,50,
500000,0.01263507,82.26212,2,2,0.7903853,0.4291548,0.07982719,50,
500000,0.007851133,129.2233,2,2,0.7903853,0.1274658,0.0808486,50,
500000,0.008144556,124.391,2,2,0.7903853,0.04301282,0.0808486,50,
500000,0.008350982,121.3701,2,2,0.7903853,0.1197431,0.0808486,50,
500000,0.00882169,119.0808,2,2,0.7903853,0.5572712,0.0808486,50,
500000,0.01100566,97.09688,2,2,0.7903853,0.5531702,0.0808486,50,
500000,0.007796702,135.6059,2,2,0.7903853,0.105294,0.0808486,50,
500000,0.00750672,138.0242,2,2,0.7903853,0.105294,0.0808486,50,
500000,0.008100737,132.0932,2,2,0.7903853,0.105294,0.0808486,50,
500000,0.007656044,147.0316,2,2,0.7903853,0.105294,0.0808486,50,
