BoidAmount,DeltaTime,EFPS,BoidViewRadius,BoidAvoidRadius,Alignment,Separation,CentrePull,Speed,
1000,0.02,50,2,3,0.37,0.5,0.1,5,
1000,0.02,50,2,2,0.37,1,0.01,25,
1000,0.3333333,3,2,2,0.37,1,0.01,25,
1000,0.0833407,11.99894,2,2,0.37,1,0.01,25,
1000,0.0209803,47.66376,2,2,0.37,1,0.01,25,
1000,0.0086949,115.0099,2,2,0.37,1,0.01,25,
1000,0.0040536,246.6943,2,2,0.37,1,0.01,25,
1000,0.0036638,272.9407,2,2,0.37,1,0.01,25,
1000,0.0030695,325.7859,2,2,0.37,1,0.01,25,
1000,0.0028977,345.1013,2,2,0.37,1,0.01,25,
1000,0.0026878,372.0515,2,2,0.37,1,0.01,25,
1000,0.0028786,347.3911,2,2,0.37,1,0.01,25,
1000,0.0037244,268.4996,2,2,0.37,1,0.01,25,
1000,0.0040196,248.781,2,2,0.37,1,0.01,25,
1000,0.0033074,302.3523,2,2,0.37,1,0.01,25,
1000,0.0024944,400.898,2,2,0.37,1,0.01,25,
1000,0.0029068,344.0209,2,2,0.37,1,0.01,25,
1000,0.0046864,213.3834,2,2,0.37,1,0.01,25,
1000,0.0033927,294.7505,2,2,0.37,1,0.01,25,
1000,0.002754,363.1082,2,2,0.37,1,0.01,25,
1000,0.0025574,391.0222,2,2,0.37,1,0.01,25,
1000,0.0031006,322.5182,2,2,0.37,1,0.01,25,
1000,0.0046131,216.774,2,2,0.37,1,0.01,25,
1000,0.0030555,327.2787,2,2,0.37,1,0.01,25,
1000,0.0027274,366.6495,2,2,0.37,1,0.01,25,
1000,0.0026802,373.1065,2,2,0.37,1,0.01,25,
1000,0.0027327,365.9384,2,2,0.37,1,0.01,25,
1000,0.0035524,281.4998,2,2,0.37,1,0.01,25,
1000,0.0030189,331.2465,2,2,0.37,1,0.01,25,
1000,0.0028958,345.3277,2,2,0.37,1,0.01,25,
1000,0.0027196,367.7011,2,2,0.37,1,0.01,25,
1000,0.0028918,345.8054,2,2,0.37,1,0.01,25,
1000,0.0027057,369.5901,2,2,0.37,1,0.01,25,
1000,0.0042915,233.0188,2,2,0.37,1,0.01,25,
1000,0.0030265,330.4147,2,2,0.37,1,0.01,25,
1000,0.0034109,293.1778,2,2,0.37,1,0.01,25,
1000,0.0035925,278.3577,2,2,0.37,1,0.01,25,
1000,0.0027216,367.4309,2,2,0.37,1,0.01,25,
1000,0.0034162,292.7229,2,2,0.37,1,0.01,25,
1000,0.002963,337.4958,2,2,0.37,1,0.01,25,
1000,0.0030088,332.3584,2,2,0.37,1,0.01,25,
1000,0.0031723,315.2287,2,2,0.37,1,0.01,25,
1000,0.0026734,374.0555,2,2,0.37,1,0.01,25,
1000,0.0042477,235.4215,2,2,0.37,1,0.01,25,
1000,0.0040418,247.4145,2,2,0.37,1,0.01,25,
